"Gender","Adult","Face_Angle","Image_Color","Image_Quality","Image_Type","Context","Multiface","Race","Smile","Area"
"female",1,1,0,"fair",0,"feature",1,"unknown",1,26852
"male",1,1,1,"good",1,"feature",0,"white",0,16872
"male",1,1,0,"fair",1,"feature",0,"white",0,15125
"male",1,1,0,"fair",1,"feature",0,"white",0,30758
"female",1,0,0,"fair",1,"ad",0,"white",1,11640
"male",1,0,0,"fair",1,"feature",0,"white",NA,11600
"male",1,1,0,"good",1,"feature",0,"white",0,16891
"male",1,1,0,"good",1,"feature",0,"white",0,14577
"male",1,1,0,"fair",1,"feature",1,"white",NA,NA
"male",0,1,1,"good",0,"ad",1,"white",1,29700
"female",0,1,1,"fair",0,"ad",1,"white",1,17544
"female",1,1,1,"fair",0,"ad",1,"white",NA,13224
"male",1,1,0,"good",1,"feature",0,"white",0,23769
"male",1,1,0,"fair",1,"feature",1,"white",0,9213
"female",1,1,0,"good",1,"feature",1,"white",1,13770
"female",0,1,0,"fair",1,"feature",1,"white",NA,NA
"male",1,1,0,"good",1,"feature",0,"white",1,9690
"male",0,1,0,"fair",1,"feature",1,"white",0,5382
"unknown",0,1,0,"good",1,"feature",1,"white",0,4800
"male",1,1,0,NA,1,"ad",0,"white",NA,11340
"male",1,1,0,"fair",1,"ad",0,"white",NA,10710
"male",1,1,0,"good",1,"feature",1,"white",NA,11537
"male",1,1,0,"fair",1,"feature",0,"white",1,11340
"male",1,0,0,"good",1,"author",0,"white",0,12510
"unknown",1,1,0,"good",1,"feature",0,"white",1,15892
"male",1,1,0,NA,1,"ad",0,"white",0,10092
"male",1,1,0,"fair",1,"ad",0,"white",1,11718
"male",1,0,0,"fair",1,"feature",1,"white",0,11094
"male",1,1,0,"fair",1,"ad",0,"white",0,9804
"male",1,0,0,"fair",1,"ad",0,"white",NA,13699
"male",1,0,0,"fair",1,"ad",0,"americanindian",0,15038
"female",1,1,0,"good",1,"ad",0,"white",NA,NA
"male",1,0,0,"fair",0,"feature",0,"white",NA,37774
"female",1,1,0,"good",1,"ad",1,"white",NA,19840
"female",1,1,0,"good",1,"feature",0,"white",1,7740
"male",1,0,1,"fair",1,"ad",1,"white",0,6630
"male",1,1,1,NA,1,"ad",0,"white",1,47564
"male",1,1,1,"good",0,"cover",0,"white",0,NA
"male",1,1,0,"fair",1,"feature",1,"white",0,14659
"male",1,0,0,"fair",1,"feature",1,"white",NA,15207
"male",1,1,0,"good",1,"feature",0,"white",1,26331
"male",1,1,0,"good",1,"feature",0,"white",0,23760
"male",1,1,0,"good",1,"feature",0,"white",0,23760
"male",1,0,0,"good",1,"feature",0,"white",0,29032
"male",1,1,0,"fair",1,"feature",0,"white",0,31886
"male",1,1,0,"good",1,"feature",0,"white",0,18997
"male",1,0,0,"fair",1,"feature",1,"white",NA,14160
"male",1,1,0,"fair",1,"feature",1,"white",NA,4290
"male",1,0,0,"good",1,"cover",1,"white",0,1620
"male",1,1,0,"fair",1,"feature",0,"white",0,4224
"male",1,1,0,"good",1,"feature",0,"white",0,5328
"male",0,1,0,"good",1,"feature",0,"white",0,18460
"male",1,0,1,"good",0,"cover",0,"white",0,19320
"male",1,1,0,"good",1,"feature",0,"white",NA,NA
"male",1,1,0,"good",1,"feature",0,"white",0,14384
"male",1,1,0,"fair",1,"feature",1,"white",NA,20148
"male",1,1,0,"good",1,"feature",1,"white",NA,19584
"male",1,1,0,"fair",1,"feature",1,"white",0,9435
"male",1,1,0,"good",1,"feature",0,"white",NA,12210
"male",1,1,0,"good",1,"feature",1,"white",0,11780
"male",1,1,1,"good",1,"feature",1,"white",1,10890
"female",1,0,0,"fair",1,"feature",0,"white",0,8800
"male",1,1,0,"fair",1,"feature",0,"white",0,11500
"male",1,1,0,"good",1,"feature",0,"white",0,10246
"male",1,1,0,"fair",1,"feature",1,"white",NA,10556
"male",1,1,0,"fair",1,"feature",1,"white",NA,8774
"male",1,1,0,"good",1,"feature",1,"white",0,11948
"male",1,1,0,"fair",1,"feature",0,"white",1,9744
"female",1,1,0,"good",1,"ad",0,"white",1,48450
"female",1,1,1,"fair",0,"ad",0,"white",0,79464
"male",1,1,0,"good",1,"feature",0,"asian",1,16900
"male",1,1,0,"good",1,"feature",0,"white",0,15620
"male",1,1,0,"fair",1,"feature",1,"white",1,9118
"male",1,1,0,"good",1,"feature",0,"white",NA,346320
"female",1,1,0,NA,1,"ad",1,"white",1,NA
"male",1,1,0,"fair",1,"ad",1,"white",0,16188
"female",1,1,0,"good",1,"ad",1,"white",1,13761
"female",1,0,0,"fair",1,"feature",1,"white",0,9680
"male",1,1,0,"good",1,"feature",1,"white",NA,30195
"male",1,1,0,NA,1,"author",0,"white",1,NA
"male",1,1,0,"fair",1,"feature",1,"white",1,25628
"male",1,0,0,"fair",1,"feature",1,"white",0,25277
"male",1,1,0,"fair",1,"feature",0,"unknown",0,26726
"male",1,1,0,"fair",1,"feature",0,"white",NA,31960
"male",1,0,1,"fair",0,"feature",1,"white",NA,NA
"male",1,1,1,"fair",1,"feature",1,"asian",0,3780
"male",1,1,1,"fair",0,"feature",0,"white",0,2279
"female",1,1,0,"good",1,"feature",1,"white",0,279654
"female",1,1,0,"good",1,"ad",0,"white",NA,NA
"male",1,1,0,"fair",1,"feature",0,"white",1,19050
"male",1,1,0,"good",1,"feature",1,"white",0,17792
"male",1,1,0,"good",0,"feature",1,"white",NA,15367
"male",1,0,1,"good",1,"feature",0,"white",1,12495
"male",1,1,0,"fair",1,"feature",0,"white",0,8787
"male",1,1,0,"fair",1,"feature",0,"white",0,14430
"male",1,1,1,"good",1,"feature",0,"white",0,66638
"male",1,1,0,"fair",1,"feature",0,"white",NA,NA
"male",1,1,0,"fair",1,"feature",0,"white",0,8448
"male",1,1,0,"good",1,"feature",0,"white",0,42036
"female",1,1,0,"good",1,"feature",0,"white",0,32745
"female",1,1,0,"good",1,"ad",1,"white",NA,NA
"male",1,1,1,"good",1,"ad",0,"white",0,57574.4
"male",1,1,1,"good",0,"cover",0,"white",1,413722
"male",1,0,0,"good",1,"feature",0,"white",NA,178296
"male",1,1,0,"fair",1,"feature",1,"black",0,61047
"male",1,1,0,NA,1,"author",1,"white",0,48300
