"Tag_Group","Gender","Age","Race","Location","Prof_Score"
"24.2.2","female","56-65","white","North America",0.807692307692308
"240.2.2","female","36-45","white","North America",0.864285714285714
"241.2.2","male","36-45","white","North America",0.88125
"242.2.2","male","46-55","white","North America",0.833333333333333
"243.2.2","female","36-45","white","North America",0.865
"244.2.2","male","26-35","asian","Asia",0.8
"245.2.2","female","36-45","asian","Asia",0.861111111111111
"246.2.2","female","46-55","asian","North America",0.88
"247.2.2","male","26-35","white","North America",0.835294117647059
"248.2.2","female","36-45","white","North America",0.8625
"249.2.2","male","56-65","white","North America",0.807692307692308
"25.2.2","female","56-65","unknown","North America",0.833333333333333
"250.2.2","male","36-45","asian","Asia",0.822222222222222
"251.2.2","male","26-35","asian","Asia",0.578947368421053
"252.2.2","male","46-55","white","North America",0.842105263157895
"253.2.2","female","46-55","white","North America",0.876470588235294
"254.2.2","male","26-35","white","North America",0.882352941176471
"255.2.2","male","36-45","asian","Asia",0.823529411764706
"256.2.2","female","26-35","white","North America",0.84
"257.2.2","female","26-35","white","North America",0.872222222222222
"258.2.2","male","26-35","asian","Antarctica",0.772222222222222
"259.2.2","male","18-25","americanin","Asia",0.752631578947368
"26.2.2","male","26-35","white","North America",0.83125
"260.2.2","female","18-25","white","Asia",0.705263157894737
"261.2.2","male","36-45","asian","Asia",0.736842105263158
"262.2.2","male","26-35","white","North America",0.886666666666667
"263.2.2","female","56-65","white","North America",0.87
"264.2.2","male","18-25","asian","North America",0.845
"265.2.2","male","36-45","white","North America",0.846666666666667
"266.2.2","female","26-35","asian","Asia",0.855555555555556
"267.2.2","male","26-35","white","North America",0.836842105263158
"268.2.2","male","26-35","white","Asia",0.709090909090909
"269.2.2","male","46-55","white","North America",0.844444444444444
"27.2.2","male","26-35","white","Asia",0.704761904761905
"270.2.2","male","26-35","asian","Asia",0.792307692307692
"271.2.2","female","18-25","asian","Asia",0.7875
"272.2.2","male","26-35","white","Asia",0.752380952380952
"273.2.2","male","26-35","asian","Asia",0.8125
"274.2.2","male","26-35","white","North America",0.816666666666667
"275.2.2","male","26-35","white","North America",0.85
"276.2.2","female","26-35","asian","Asia",0.76
"277.2.2","male","46-55","white","North America",0.865
"278.2.2","male","18-25","white","Asia",0.752941176470588
"279.2.2","female","56-65","asian","North America",0.916666666666667
"28.2.2","male","26-35","white","North America",0.836842105263158
"280.2.2","male","36-45","white","North America",0.816666666666667
"281.2.2","male","36-45","white","North America",0.884615384615385
"282.2.2","male","26-35","unknown","North America",0.80625
"283.2.2","unknown","26-35","white","North America",0.806666666666667
"284.2.2","male","26-35","white","North America",0.823809523809524
"285.2.2","male","26-35","white","South America",0.783333333333333
"286.2.2","male","26-35","white","North America",0.852941176470588
"287.2.2","male","26-35","white","North America",0.8
"288.2.2","male","26-35","asian","Asia",0.809090909090909
"289.2.2","male","26-35","white","North America",0.86
"29.2.2","male","26-35","white","North America",0.844444444444444
"290.2.2","male","36-45","asian","Asia",0.772222222222222
"291.2.2","male","26-35","asian","Asia",0.727777777777778
"292.2.2","male","26-35","white","North America",0.833333333333333
"293.2.2","male","26-35","asian","Asia",0.8
"294.2.2","female","26-35","white","Asia",0.736842105263158
"295.2.2","female","56-65","white","North America",0.814285714285714
"296.2.2","female","36-45","white","North America",0.822222222222222
"297.2.2","female","46-55","white","North America",0.852631578947369
"298.2.2","male","26-35","white","North America",0.905263157894737
"299.2.2","female","66+","white","North America",0.836842105263158
"3.2.2","female","46-55","asian","Asia",0.8
"30.2.2","male","26-35","asian","Asia",0.773333333333333
"300.2.2","male","26-35","white","Europe",0.861904761904762
"301.2.2","female","26-35","white","North America",0.831578947368421
"302.2.2","male","56-65","white","North America",0.838888888888889
"303.2.2","male","36-45","asian","Asia",0.77
"304.2.2","male","36-45","asian","North America",0.811111111111111
"305.2.2","male","26-35","white","North America",0.88125
"306.2.2","female","36-45","white","North America",0.866666666666667
"307.2.2","female","36-45","white","North America",0.9
"31.2.2","female","46-55","white","North America",0.852941176470588
"32.2.2","male","26-35","asian","North America",0.811111111111111
"33.2.2","male","36-45","white","North America",0.8
"34.2.2","male","26-35","asian","Asia",0.835
"35.2.2","male","26-35","white","North America",0.855
"36.2.2","male","26-35","asian","Asia",0.847619047619048
"37.2.2","female","36-45","white","North America",0.852631578947369
"38.2.2","male","26-35","unknown","North America",0.878947368421053
"39.2.2","male","26-35","asian","Asia",0.59047619047619
"4.2.2","male","36-45","asian","Asia",0.8
"40.2.2","female","56-65","white","North America",0.7
"41.2.2","female","36-45","white","North America",0.865
"42.2.2","female","36-45","white","North America",0.826666666666667
"43.2.2","female","46-55","asian","North America",0.933333333333333
"44.2.2","female","36-45","white","North America",0.844444444444444
"45.2.2","male","26-35","asian","Asia",0.78125
"46.2.2","female","36-45","white","North America",0.844444444444444
"47.2.2","female","26-35","white","North America",0.83
"48.2.2","male","26-35","asian","Asia",0.766666666666667
"49.2.2","male","26-35","white","North America",0.811111111111111
"5.2.2","male","18-25","white","Asia",0.78
"50.2.2","female","26-35","asian","Asia",0.727777777777778
"51.2.2","male","26-35","white","North America",0.805263157894737
"52.2.2","male","36-45","asian","Asia",0.821052631578947
"53.2.2","male","26-35","americanin","North America",0.714285714285714
"54.2.2","male","26-35","white","North America",0.855555555555556
"55.2.2","female","46-55","white","North America",0.81875
"56.2.2","female","36-45","white","North America",0.91578947368421
"57.2.2","male","26-35","white","North America",0.870588235294118
"58.2.2","male","36-45","white","North America",0.885714285714286
"59.2.2","male","46-55","white","North America",0.847619047619048
"6.2.2","female","36-45","white","North America",0.885
"60.2.2","male","26-35","white","North America",0.80625
"61.2.2","male","26-35","white","North America",0.9
"62.2.2","male","26-35","asian","Asia",0.714285714285714
"63.2.2","male","36-45","white","North America",0.871428571428571
"64.2.2","female","36-45","white","North America",0.81875
"65.2.2","male","26-35","asian","Asia",0.695
"66.2.2","male","46-55","white","North America",0.827777777777778
